ttp,Nitro,Scarab,FIN7,Waterbug,Hidden Cobra,TA505,Quedagh,Tick,TwoForOne,Patchwork,APT28,APT1,MageCart,SEA,Darkhotel,Energetic Bear,MuddyWater,Rocke,APT29,Molerats,Silence
T1005,0.04407598823308945,0.042091961950063705,0.057888031005859375,0.045771051198244095,0.031007805839180946,0.04945416748523712,0.036263227462768555,0.037035007029771805,0.03806542977690697,0.059615910053253174,0.04776965081691742,0.04371245577931404,0.06344117224216461,0.0596732422709465,0.050313737243413925,0.052859362214803696,0.04578511789441109,0.0496026948094368,0.05594272166490555,0.04574594274163246,0.04388536140322685
T1119,0.03473549708724022,0.03928539529442787,0.036297187209129333,0.05939042940735817,0.02258032187819481,0.046115025877952576,0.030370870605111122,0.03896630182862282,0.03905259072780609,0.07429028302431107,0.04477792605757713,0.04423325136303902,0.06882145255804062,0.08033289760351181,0.04347824677824974,0.052652765065431595,0.04591776058077812,0.05325843766331673,0.04902472347021103,0.050904881209135056,0.04551391676068306
T1039,0.031429074704647064,0.03394613042473793,0.02953677624464035,0.065779909491539,0.026037391275167465,0.044510263949632645,0.036648549139499664,0.04463919252157211,0.045638665556907654,0.0626683384180069,0.034623708575963974,0.04785441607236862,0.05679951608181,0.0816882774233818,0.04672569781541824,0.06293822824954987,0.04381445795297623,0.04999428987503052,0.05614246428012848,0.0576772578060627,0.04090741649270058
T1074,0.037857942283153534,0.040485136210918427,0.046940211206674576,0.0564410537481308,0.024015771225094795,0.04882039129734039,0.032524921000003815,0.03750566393136978,0.03908460959792137,0.07195419818162918,0.04171755909919739,0.04500000923871994,0.07118676602840424,0.07469869405031204,0.04333212599158287,0.051618993282318115,0.04423966631293297,0.05101369693875313,0.04883671551942825,0.0482228621840477,0.044502921402454376
T1189,0.03971007093787193,0.04252563789486885,0.04659799113869667,0.059053707867860794,0.03729075565934181,0.04064513370394707,0.0331154391169548,0.04147740826010704,0.039840538054704666,0.06531407684087753,0.045540302991867065,0.03826100006699562,0.046067867428064346,0.06815389543771744,0.042781416326761246,0.044671207666397095,0.05620601400732994,0.04873961582779884,0.049840547144412994,0.055781930685043335,0.058385416865348816
T1190,0.03989715129137039,0.04315037280321121,0.0534326508641243,0.05652948096394539,0.042711056768894196,0.05042574927210808,0.03707142919301987,0.04787463694810867,0.04169641435146332,0.050443075597286224,0.04001166298985481,0.047659337520599365,0.05842256918549538,0.06119675934314728,0.04111243039369583,0.047573331743478775,0.047252971678972244,0.04402206093072891,0.04823017120361328,0.05083088576793671,0.05045580863952637
T1566,0.03466413915157318,0.04078126326203346,0.049366872757673264,0.04665377363562584,0.05890136957168579,0.0531073734164238,0.043887827545404434,0.048273779451847076,0.034798722714185715,0.03785549849271774,0.05963703244924545,0.04167003929615021,0.048183292150497437,0.07407910376787186,0.042731739580631256,0.04245235398411751,0.05537031590938568,0.037278518080711365,0.040786195546388626,0.05105562508106232,0.058465246111154556
T1195,0.03580126166343689,0.035646118223667145,0.04153669252991676,0.0651991069316864,0.05160128325223923,0.05707306042313576,0.03637101501226425,0.052030496299266815,0.04865197837352753,0.04586367681622505,0.031374868005514145,0.05092322453856468,0.06220874562859535,0.06030246987938881,0.04056393727660179,0.05046716332435608,0.046920403838157654,0.03819342702627182,0.04880101606249809,0.05610977113246918,0.044360313564538956
T1219,0.02833705209195614,0.032271724194288254,0.027421189472079277,0.05358400195837021,0.030677348375320435,0.05426836758852005,0.05023721605539322,0.04556144028902054,0.04834173992276192,0.05466626212000847,0.031102411448955536,0.0468079037964344,0.05846129730343819,0.08259180188179016,0.04722683131694794,0.06974870711565018,0.0470869280397892,0.04201711714267731,0.04861726239323616,0.0626063197851181,0.038367029279470444
T1090,0.04426947981119156,0.03964122384786606,0.06895065307617188,0.05093636363744736,0.03941043093800545,0.058107249438762665,0.034496285021305084,0.03904510289430618,0.036465927958488464,0.051070310175418854,0.043609343469142914,0.042110756039619446,0.07680017501115799,0.05210494250059128,0.04265478625893593,0.04660218581557274,0.04088325798511505,0.045168373733758926,0.058478087186813354,0.04166211932897568,0.047532979398965836
T1572,0.038094162940979004,0.045039836317300797,0.053243327885866165,0.05081484839320183,0.029506921768188477,0.04836104065179825,0.040438637137413025,0.03872794657945633,0.038486458361148834,0.06656201183795929,0.03463630750775337,0.03996797651052475,0.0662747472524643,0.0655951276421547,0.040389399975538254,0.053481169044971466,0.04489657282829285,0.048628609627485275,0.05726554989814758,0.04956277087330818,0.050026629120111465
T1001,0.030358051881194115,0.0411551259458065,0.04205711558461189,0.06556464731693268,0.02559615485370159,0.047944992780685425,0.03208885341882706,0.03689873591065407,0.038418740034103394,0.07882232964038849,0.03315539285540581,0.03929605334997177,0.07062471657991409,0.08647004514932632,0.03308119252324104,0.04870126023888588,0.04837799444794655,0.04583760350942612,0.04910149797797203,0.055294156074523926,0.05115533620119095
T1104,0.026220809668302536,0.03554915636777878,0.0416315421462059,0.06516726315021515,0.03142279013991356,0.06249931827187538,0.032561689615249634,0.03873472288250923,0.037702374160289764,0.059871841222047806,0.034952711313962936,0.039064325392246246,0.08435291051864624,0.08714983612298965,0.03269866481423378,0.04732854291796684,0.052860770374536514,0.03450615704059601,0.047699738293886185,0.05795507878065109,0.050069667398929596
T1071,0.03746183589100838,0.041225094348192215,0.05491921678185463,0.05986642464995384,0.03654494509100914,0.05360658839344978,0.03320777043700218,0.0398414209485054,0.03739641606807709,0.059539731591939926,0.04405386000871658,0.04103423282504082,0.0756809189915657,0.06674818694591522,0.036278631538152695,0.04318483918905258,0.04502250626683235,0.043818701058626175,0.048482175916433334,0.04717716574668884,0.05490938201546669
T1205,0.032592542469501495,0.0356576144695282,0.047671426087617874,0.05702328681945801,0.03162534162402153,0.05534394457936287,0.039766035974025726,0.042602986097335815,0.041431132704019547,0.05930508300662041,0.029447123408317566,0.04625268653035164,0.07426601648330688,0.07517440617084503,0.03855618089437485,0.05972001701593399,0.041177500039339066,0.043177615851163864,0.05836065486073494,0.05211661756038666,0.03873182460665703
